total_ssds,m,k,l,cached_ssds,cached_m,cached_k,cached_l,cached_network_m,cached_network_k,cached_network_l,inter_replicas,intra_replicas,cached_write_ratio,network_m,network_k,network_l,capacity,qlc,simulation,dwpd,guaranteed_years,dwpd_limit,op_ratio,waf_ratio,ssd_read_bw,ssd_write_bw,qlc_cache,cached_dwpd_limit,cached_ssd_read_bw,cached_ssd_write_bw,write_through,config_file,nprocs,box_mttf,io_module_mttr,active_active,single_port_ssd,rebuild_bw_ratio,target_perf_ratio,simulation_year,up_time,cached_up_time,simulation_time,effective_up_time,credit_up_time,uncached_availability,cached_availability,availability,avail_nines,total_credit_ratio,effective_availability,eff_avail_nines,credit_availability,credit_avail_nines,operation_cost_per_year,repair_cost_per_year,down_cost_per_year,cached_ssd_repair_cost_per_year,uncached_ssd_repair_cost_per_year,initial_cost,cached_initial_cost,uncached_initial_cost,repair_cost_for_10_years,down_cost_for_10_years,cached_ssd_repair_cost_for_10_years,uncached_ssd_repair_cost_for_10_years,total_cost_for_10_years,effective_capacity,initial_cost_per_gb,cost_per_gb,avg_time_for_rebuilding,cached_mttf,mttf,total_mttdl,total_mttdl_count
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,16000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7006511214.26575,7008000000.0,7008000000.0,7006511135.7654085,7006511155.390492,0.9997875591132634,1.0,0.9997875591132634,3.6727618944869977,0.11240562229144387,0.9997875479117306,3.6727389957140053,0.9997875507121137,3.672744720293723,61883.91609516924,48337.3371125,13546.578982669243,0.0,47245.488,721778.0,0.0,614400.0,483373.37112499995,135465.78982669243,0.0,472454.88,1340617.1609516924,733487603305785.1,0.1230044646881197,0.22846622678243134,11.791354553425679,438000.0,113880.0,533368.3582681989,13119
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,32000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7003551073.87713,7008000000.0,7008000000.0,7003550993.616392,7003551013.681576,0.9993651646514169,1.0,0.9993651646514169,3.1973388990766476,0.2000310148179943,0.9993651531986861,3.1973310642688983,0.9993651560618687,3.1973330229575088,141458.1114796952,95606.2017825,45851.9096971952,0.0,94522.848,1336178.0,0.0,1228800.0,956062.017825,458519.096971952,0.0,945228.48,2750759.114796952,1466975206611570.2,0.11385485538354065,0.23439038901266393,20.397200051778295,438000.0,113880.0,325516.32634882623,21491
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,64000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6993071028.509163,7008000000.0,7008000000.0,6993070944.178017,6993070965.260804,0.997869724387723,1.0,0.997869724387723,2.671564204473195,0.3468724757401178,0.997869712354169,2.671561751226616,0.9978697153625576,2.67156236453699,345022.8473542973,190107.69397875,154915.1533755473,0.0,189022.464,2564978.0,0.0,2457600.0,1901076.9397875,1549151.5337554729,0.0,1890224.6400000001,6015206.473542973,2933950413223140.5,0.10928005073125113,0.2562759090283528,41.393229467314065,438000.0,113880.0,186151.15218458514,37550
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6951087123.526825,7008000000.0,7008000000.0,6951087046.991774,6951087066.125536,0.9918788703662706,1.0,0.9918788703662706,2.090383557018268,0.5609170652246964,0.9918788594451732,2.0903829729900116,0.9918788621754475,2.090383118997001,873144.06673288,378892.06848124997,494251.99825163,0.0,377810.688,5022578.0,0.0,4915200.0,3788920.6848124997,4942519.9825163,0.0,3778106.8800000004,13754018.6673288,5867900826446281.0,0.10699264840510636,0.2929927386753933,98.56680666103762,438000.0,113880.0,100642.556292722,69044
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,256000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6763263523.725565,7008000000.0,7008000000.0,6763263447.47772,6763263466.539681,0.9650775576092415,1.0,0.9650775576092415,1.456895390403575,0.7962724281384503,0.9650775467291267,1.4568952550988037,0.9650775494491555,1.4568952889249933,2147814.2245292375,755172.9578675,1392641.2666617373,0.0,754089.472,9937778.0,0.0,9830400.0,7551729.578675,13926412.666617373,0.0,7540894.72,31415920.245292373,1.1735801652892562e+16,0.10584894724203399,0.3346162577392954,304.8936763838434,438000.0,113880.0,53483.24618297639,126435
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,16000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007997918.034128,7008000000.0,7008000000.0,7007997842.240986,7007997861.189272,0.9999997029158288,1.0,0.9999997029158288,6.527120487086486,0.0004722842825483962,0.9999996921005972,6.511591153519366,0.9999996948044052,6.515421739293304,48404.35490557005,48347.432732500005,56.92217307004724,0.0,47260.816,721778.0,0.0,614400.0,483474.3273250001,569.2217307004724,0.0,472608.16,1205821.5490557004,699768595041322.4,0.1289315505716175,0.2153964820657061,10.83605775484118,438000.0,113880.0,123731252.69770503,28
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,32000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007984640.552493,7008000000.0,7008000000.0,7007984568.177725,7007984586.271417,0.9999978082980155,1.0,0.9999978082980155,5.659218499140927,0.0012383217041710328,0.9999977979705658,5.657176880167913,0.9999978005524282,5.657686385825357,95834.82359957071,95551.03885249999,283.78474707072456,0.0,94463.552,1336178.0,0.0,1228800.0,955510.3885249998,2837.8474707072455,0.0,944635.52,2294526.235995707,1399537190082644.8,0.11934105873252078,0.2049361614195665,17.706072548505777,438000.0,113880.0,54639396.158942856,107
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,64000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007928106.466152,7008000000.0,7008000000.0,7007928030.024566,7007928049.134962,0.9999897412194851,1.0,0.9999897412194851,4.988904261752864,0.003087479235009316,0.9999897303117246,4.988442738711315,0.9999897330386647,4.988558073498167,191480.45885321923,190101.5925025,1378.8663507192439,0.0,189017.792,2564978.0,0.0,2457600.0,1901015.9250249998,13788.66350719244,0.0,1890177.92,4479782.588532193,2799074380165289.5,0.1145458128129724,0.20005642848742622,31.470575903816364,438000.0,113880.0,22467781.520513248,282
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007549386.94757,7008000000.0,7008000000.0,7007549312.820672,7007549331.352397,0.9999357001922902,1.0,0.9999357001922902,4.191790325842235,0.009939096134451337,0.9999356896148219,4.1917188892633135,0.9999356922591891,4.191736747307212,387537.2492164348,378780.52461,8756.724606434733,0.0,377689.6,5022578.0,0.0,4915200.0,3787805.2461,87567.24606434733,0.0,3776896.0,8897950.492164347,5598148760330579.0,0.11214818985319822,0.19868064589531625,59.3295559097044,438000.0,113880.0,7969239.801560852,860
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,256000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7004365170.038355,7008000000.0,7008000000.0,7004365087.366266,7004365108.034288,0.9994813313410894,1.0,0.9994813313410894,3.285109993906194,0.037400937815830385,0.9994813195442731,3.285100116243695,0.9994813224934772,3.285102585638281,822059.8307959873,756594.2737125,65465.55708348729,0.0,755502.848,9937778.0,0.0,9830400.0,7565942.737125,654655.5708348729,0.0,7555028.48,18158376.307959873,1.1196297520661158e+16,0.11094937837331112,0.20272746721015586,118.11006794595272,438000.0,113880.0,2162491.611912264,3221
48,41,3,4,0,0,0,0,8,0,0,0,0,0,8,0,0,16000000000000,True,True,0.1,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007999895.936903,7008000000.0,7008000000.0,7007999816.760457,7007999836.554567,0.9999999851508138,1.0,0.9999999851508138,7.8282973465128,0.00032952144510139497,0.9999999738528049,7.582574892970849,0.999999976677307,7.632221304379506,48404.523873822494,48364.80250125,39.72137257249493,0.0,47280.8,721778.0,0.0,614400.0,483648.0250125,397.2137257249493,0.0,472808.0,1205823.2387382248,666842975206611.5,0.1352975938181638,0.22603208018436016,10.778708430119451,438000.0,113880.0,0,0
