total_ssds,m,k,l,cached_ssds,cached_m,cached_k,cached_l,cached_network_m,cached_network_k,cached_network_l,inter_replicas,intra_replicas,cached_write_ratio,network_m,network_k,network_l,capacity,qlc,simulation,dwpd,guaranteed_years,dwpd_limit,op_ratio,waf_ratio,ssd_read_bw,ssd_write_bw,qlc_cache,cached_dwpd_limit,cached_ssd_read_bw,cached_ssd_write_bw,write_through,config_file,nprocs,box_mttf,io_module_mttf,active_active,single_port_ssd,rebuild_bw_ratio,target_perf_ratio,simulation_year,up_time,cached_up_time,simulation_time,effective_up_time,credit_up_time,uncached_availability,cached_availability,availability,avail_nines,total_credit_ratio,effective_availability,eff_avail_nines,credit_availability,credit_avail_nines,operation_cost_per_year,repair_cost_per_year,down_cost_per_year,cached_ssd_repair_cost_per_year,uncached_ssd_repair_cost_per_year,initial_cost,cached_initial_cost,uncached_initial_cost,repair_cost_for_10_years,down_cost_for_10_years,cached_ssd_repair_cost_for_10_years,uncached_ssd_repair_cost_for_10_years,total_cost_for_10_years,effective_capacity,initial_cost_per_gb,cost_per_gb,avg_time_for_rebuilding,cached_mttf,mttf,total_mttdl,total_mttdl_count
48,47,1,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,6015681171.906248,7008000000.0,7008000000.0,6014782776.257433,6014782776.257433,0.8584019937080833,1.0,0.8584019937080833,0.8489428614945178,0.9999919368306165,0.8582737979819396,0.848549850952995,0.8582737979819396,0.848549850952995,3200292.6207692227,1349024.8739874999,1851267.7467817229,0.0,1347935.744,5022578.0,0.0,4915200.0,13490248.739874998,18512677.46781723,0.0,13479357.44,37025504.20769223,6016000000000000.0,0.10435875166223403,0.7693131692090306,311.3850151587701,121666.66666666667,31633.333333333336,8291.122793419721,725535
48,46,2,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,6981272989.843243,7008000000.0,7008000000.0,6980228953.620412,6980228953.620412,0.9961862143041157,1.0,0.9961862143041157,2.4186437144650967,0.3799508120099292,0.996037236532593,2.402001849408338,0.996037236532593,2.402001849408338,2066502.342101809,1359228.94267625,707273.3994255593,0.0,1358135.936,5022578.0,0.0,4915200.0,13592289.426762499,7072733.994255593,0.0,13581359.36,25687601.42101809,5888000000000000.0,0.10662742017663043,0.5453380057111517,67.12144830852834,121666.66666666667,31633.333333333336,193933.4120810279,35976
48,45,3,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,7007358200.945925,7008000000.0,7008000000.0,7006312379.620728,7006312379.620728,0.9999084190847496,1.0,0.9999084190847496,4.038195020491474,0.08471998879572058,0.9997591865897157,3.6183193319894267,0.9997591865897157,3.6183193319894267,1517087.9526043378,1359370.79859,157717.1540143378,0.0,1358282.496,5022578.0,0.0,4915200.0,13593707.9859,1577171.540143378,0.0,13582824.96,20193457.526043378,5760000000000000.0,0.10899691840277778,0.4382260747839275,58.64723951450235,121666.66666666667,31633.333333333336,5216789.251918149,1319
48,44,4,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,7007980510.953776,7008000000.0,7008000000.0,7006933369.210951,7006933369.210951,0.9999972190287922,1.0,0.9999972190287922,5.555803507495171,0.07202002295141657,0.999847798118001,3.817579977415984,0.999847798118001,3.817579977415984,1493644.61605717,1359556.69350375,134087.9225534201,0.0,1358465.664,5022578.0,0.0,4915200.0,13595566.935037501,1340879.225534201,0.0,13584656.64,19959024.1605717,5632000000000000.0,0.11147412109375,0.44298260299564324,58.356882797347474,121666.66666666667,31633.333333333336,90451011.33991593,47
48,43,5,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,7007999958.521731,7008000000.0,7008000000.0,7006954430.906468,7006954430.906468,0.9999999940812972,1.0,0.9999999940812972,8.227773470675238,0.07148090288831804,0.9998508034969276,3.8262413559125643,0.9998508034969276,3.8262413559125643,1492927.7227049775,1359824.4054100001,133103.3172949773,0.0,1358737.408,5022578.0,0.0,4915200.0,13598244.054100001,1331033.1729497733,0.0,13587374.08,19951855.227049775,5504000000000000.0,0.11406654251453488,0.45312171209687896,58.366872422234614,121666.66666666667,31633.333333333336,0,0
48,42,6,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,7007999910.273888,7008000000.0,7008000000.0,7006952828.3389,7006952828.3389,0.9999999871966164,1.0,0.9999999871966164,7.892675243320052,0.07162924017493077,0.9998505748200485,3.8255762124766375,0.9998505748200485,3.8255762124766375,1493432.9902559046,1360038.1466187502,133394.84363715452,0.0,1358948.096,5022578.0,0.0,4915200.0,13600381.466187501,1333948.4363715453,0.0,13589480.959999999,19956907.902559046,5376000000000000.0,0.11678241257440478,0.4640278065141147,59.21041537653142,121666.66666666667,31633.333333333336,0,0
48,1,0,0,0,0,0,0,47,0,0,0,0,0,47,1,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,6894617675.142056,7008000000.0,7008000000.0,6504635615.58502,6503463355.788643,0.9838210152885355,1.0,0.9838210152885355,1.791048735384025,1.0000006251672002,0.9281728903517438,1.1437116093994855,0.9280056158374205,1.1427013788787779,3170033.0615125396,1333887.0568075,1836146.0047050396,0.0,1332799.232,5022578.0,0.0,4915200.0,13338870.568075001,18361460.047050394,0.0,13327992.32,36722908.615125395,6016000000000000.0,0.10435875166223403,0.7630258605203913,666.9136574821615,121666.66666666667,31633.333333333336,1568.676486042579,3634795
48,1,0,0,0,0,0,0,46,0,0,0,0,0,46,2,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,6976202170.158786,7008000000.0,7008000000.0,6282397870.824115,6282396965.76693,0.9954626384358998,1.0,0.9954626384358998,2.3431966121739083,1.0000008701316956,0.896460883393852,0.984895544730944,0.8964607542475641,0.9848950030276048,3202221.5373092424,1349981.06280875,1852240.4745004924,0.0,1348893.44,5022578.0,0.0,4915200.0,13499810.6280875,18522404.745004926,0.0,13488934.399999999,37044793.37309243,5888000000000000.0,0.10662742017663043,0.7864468701828385,303.55680173708635,121666.66666666667,31633.333333333336,3375.326818026566,1836117
48,1,0,0,0,0,0,0,45,0,0,0,0,0,45,3,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,7000665405.99273,7008000000.0,7008000000.0,6219679529.724757,6219679529.724757,0.9989533969738484,1.0,0.9989533969738484,2.9802180138739915,1.0000008001682672,0.8875113484196286,0.9488912891492712,0.8875113484196286,0.9488912891492712,3210283.5661408016,1354012.14040625,1856271.4257345519,0.0,1352931.968,5022578.0,0.0,4915200.0,13540121.4040625,18562714.25734552,0.0,13529319.680000002,37125413.661408015,5760000000000000.0,0.10899691840277778,0.8056730395270837,199.70308054727272,121666.66666666667,31633.333333333336,27387.40504540711,253517
48,1,0,0,0,0,0,0,44,0,0,0,0,0,44,4,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,7006627907.1385145,7008000000.0,7008000000.0,6206639300.69993,6206639300.69993,0.9998042104935095,1.0,0.9998042104935095,3.7082105883010694,1.0000009338753408,0.885650585145538,0.9417660534107828,0.885650585145538,0.9417660534107828,3213196.8616174343,1355468.66336625,1857728.1982511843,0.0,1354386.304,5022578.0,0.0,4915200.0,13554686.6336625,18577281.982511844,0.0,13543863.04,37154546.61617434,5632000000000000.0,0.11147412109375,0.8246303847694944,175.8646922582442,121666.66666666667,31633.333333333336,312515.71630773775,22288
