total_ssds,m,k,l,cached_ssds,cached_m,cached_k,cached_l,cached_network_m,cached_network_k,cached_network_l,inter_replicas,intra_replicas,cached_write_ratio,network_m,network_k,network_l,capacity,qlc,simulation,dwpd,guaranteed_years,dwpd_limit,op_ratio,waf_ratio,ssd_read_bw,ssd_write_bw,qlc_cache,cached_dwpd_limit,cached_ssd_read_bw,cached_ssd_write_bw,write_through,config_file,nprocs,box_mttf,io_module_mttr,active_active,single_port_ssd,rebuild_bw_ratio,target_perf_ratio,simulation_year,up_time,cached_up_time,simulation_time,effective_up_time,credit_up_time,uncached_availability,cached_availability,availability,avail_nines,total_credit_ratio,effective_availability,eff_avail_nines,credit_availability,credit_avail_nines,operation_cost_per_year,repair_cost_per_year,down_cost_per_year,cached_ssd_repair_cost_per_year,uncached_ssd_repair_cost_per_year,initial_cost,cached_initial_cost,uncached_initial_cost,repair_cost_for_10_years,down_cost_for_10_years,cached_ssd_repair_cost_for_10_years,uncached_ssd_repair_cost_for_10_years,total_cost_for_10_years,effective_capacity,initial_cost_per_gb,cost_per_gb,avg_time_for_rebuilding,cached_mttf,mttf,total_mttdl,total_mttdl_count
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,16000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6988451899.39043,7008000000.0,7008000000.0,6988451824.251345,6988451843.036117,0.9972106020819678,1.0,0.9972106020819678,2.5544895275845025,0.7931072790825662,0.9972105913600663,2.554487858244439,0.9972105940405418,2.554488275578875,364076.5190510333,171117.35815375,192959.1608972833,0.0,170032.672,721778.0,0.0,614400.0,1711173.5815375,1929591.608972833,0.0,1700326.72,4362543.190510333,733487603305785.1,0.1230044646881197,0.743458916491671,14.417735944273613,121666.66666666667,31633.333333333336,42137.95221075955,165828
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,32000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6947271060.682008,7008000000.0,7008000000.0,6947270981.428018,6947271001.241516,0.9913343408507431,1.0,0.9913343408507431,2.0621983972896563,0.9425888962354133,0.9913343295416692,2.0621978305162463,0.9913343323689378,2.0621979722095323,788771.590720149,341207.00338874996,447564.587331399,0.0,340127.2,1336178.0,0.0,1228800.0,3412070.0338874995,4475645.8733139895,0.0,3401272.0,9223893.90720149,1466975206611570.2,0.11385485538354065,0.7859619802732475,29.403118816355548,121666.66666666667,31633.333333333336,25914.06853006998,268073
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,64000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6784547108.803404,7008000000.0,7008000000.0,6784547035.583641,6784547053.88858,0.9681145988589333,1.0,0.9681145988589333,1.496408114908312,0.994950330838897,0.9681145884109077,1.4964079726012078,0.9681145910229139,1.4964080081779765,1610984.2242951575,679606.72121375,931377.5030814076,0.0,678521.6,2564978.0,0.0,2457600.0,6796067.2121375,9313775.030814076,0.0,6785216.0,18674820.242951576,2933950413223140.5,0.10928005073125113,0.7956346228103102,78.61555613303325,121666.66666666667,31633.333333333336,14967.819186316772,453254
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6015546235.518618,7008000000.0,7008000000.0,6015546168.987131,6015546185.620003,0.8583827390865607,1.0,0.8583827390865607,0.8488838097634878,0.9999890143293287,0.8583827295929125,0.8488837806495305,0.8583827319663246,0.8488837879280199,3200604.889800754,1349183.71456375,1851421.175237004,0.0,1348097.024,5022578.0,0.0,4915200.0,13491837.1456375,18514211.75237004,0.0,13480970.24,37028626.89800754,5867900826446281.0,0.10699264840510636,0.788796283227933,309.55924200951915,121666.66666666667,31633.333333333336,8296.883420040675,725019
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,256000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,2956316778.2854757,7008000000.0,7008000000.0,2956316746.327587,2956316754.3170595,0.4218488553489549,1.0,0.4218488553489549,0.23795861018336548,1.000001246829273,0.4218488507887539,0.23795860675784233,0.42184885192880417,0.23795860761422313,6179544.738683974,2592881.23336625,3586663.505317725,0.0,2591803.648,9937778.0,0.0,9830400.0,25928812.333662502,35866635.053177245,0.0,25918036.48,71733225.38683975,1.1735801652892562e+16,0.10584894724203399,0.7640426652187775,1585.0369062167292,121666.66666666667,31633.333333333336,4621.853872288842,639631
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,16000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007885849.114736,7008000000.0,7008000000.0,7007885773.669071,7007885792.530488,0.9999837113462807,1.0,0.9999837113462807,4.7881148092735115,0.00945197932982678,0.9999837005806324,4.787827866143121,0.9999837032720446,4.787899584156903,173500.15395044183,171199.7543375,2300.399612941844,0.0,170111.712,721778.0,0.0,614400.0,1711997.543375,23003.996129418443,0.0,1701117.12,2456779.539504418,699768595041322.4,0.1289315505716175,0.43885570832157406,10.898494984617416,121666.66666666667,31633.333333333336,4966351.815827453,1392
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,32000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007428602.430546,7008000000.0,7008000000.0,7007428524.058779,7007428543.651721,0.9999184649586966,1.0,0.9999184649586966,4.08865570446183,0.032564827807201574,0.9999184537755107,4.08859614156937,0.9999184565713072,4.0886110315266615,356740.1223965697,341275.31004124996,15464.812355319733,0.0,340187.392,1336178.0,0.0,1228800.0,3412753.1004124996,154648.12355319734,0.0,3401873.92,4903579.223965697,1399537190082644.8,0.11934105873252078,0.4379643551733818,17.861443860582266,121666.66666666667,31633.333333333336,1843754.5230061377,3777
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,64000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7004579167.175543,7008000000.0,7008000000.0,7004579091.424627,7004579110.362356,0.9995118674622635,1.0,0.9995118674622635,3.3114622423569275,0.10857201135118236,0.9995118566530575,3.3114526254472354,0.999511859355359,3.311455029654694,782294.4694908408,680556.58966,101737.87983084079,0.0,679468.928,2564978.0,0.0,2457600.0,6805565.896600001,1017378.7983084079,0.0,6794689.279999999,10387922.694908408,2799074380165289.5,0.1145458128129724,0.46389990422007765,32.485261856354185,121666.66666666667,31633.333333333336,622105.6774114692,11237
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6979198095.3247,7008000000.0,7008000000.0,6979198018.036584,6979198037.358614,0.9958901391730451,1.0,0.9958901391730451,2.386172884476462,0.35024835554775935,0.9958901281444897,2.386171719075849,0.9958901309016287,2.386172010425721,2011672.635051057,1359570.37755125,652102.257499807,0.0,1358484.864,5022578.0,0.0,4915200.0,13595703.7755125,6521022.5749980705,0.0,13584848.64,25139304.35051057,5598148760330579.0,0.11214818985319822,0.5613307502797151,68.58046431247246,121666.66666666667,31633.333333333336,179968.07436980063,38755
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,256000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6670361142.005321,7008000000.0,7008000000.0,6670361068.520095,6670361086.8914,0.951820939213088,1.0,0.951820939213088,1.3171416704862269,0.7887244007511559,0.9518209287271825,1.317141575964451,0.9518209313486587,1.3171415995948919,5618599.897555405,2702922.31477375,2915677.5827816552,0.0,2701830.656,9937778.0,0.0,9830400.0,27029223.1477375,29156775.827816553,0.0,27018306.56,66123776.97555405,1.1196297520661158e+16,0.11094937837331112,0.73823262615981,247.88916347645906,121666.66666666667,31633.333333333336,52399.22569647898,127273
48,41,3,4,0,0,0,0,8,0,0,0,0,0,8,0,0,16000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007999261.702969,7008000000.0,7008000000.0,7007999184.225576,7007999203.594923,0.9999998946493962,1.0,0.9999998946493962,6.97736297097545,0.00037041746114834163,0.9999998835938323,6.934024008266051,0.9999998863577231,6.9444600733932536,171286.8783823468,171196.7282075,90.15017484679761,0.0,170108.48,721778.0,0.0,614400.0,1711967.282075,901.5017484679761,0.0,1701084.8,2434646.783823468,666842975206611.5,0.1352975938181638,0.4563755775992707,10.808582794955496,121666.66666666667,31633.333333333336,129910238.61407614,10
48,41,3,4,0,0,0,0,8,0,0,0,0,0,8,0,0,32000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007996478.718912,7008000000.0,7008000000.0,7007996399.195183,7007996419.076115,0.9999994975340913,1.0,0.9999994975340913,6.298893398949918,0.0005365231902615838,0.9999994861865272,6.289194512229111,0.9999994890234182,6.291599003226217,341327.1236113923,341072.44128875,254.68232264228115,0.0,339986.112,1336178.0,0.0,1228800.0,3410724.4128874997,2546.8232264228113,0.0,3399861.12,4749449.236113923,1333685950413223.0,0.12523356787874282,0.4451431420795105,17.58701354534207,121666.66666666667,31633.333333333336,96287188.80121823,28
48,41,3,4,0,0,0,0,8,0,0,0,0,0,8,0,0,64000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007956413.322978,7008000000.0,7008000000.0,7007956339.837609,7007956358.208953,0.9999937804399227,1.0,0.9999937804399227,5.20624033279493,0.002107133738926336,0.9999937699539968,5.205508746461065,0.9999937725754784,5.205691527548501,683095.088581693,681119.4037375,1975.6848441930545,0.0,680035.712,2564978.0,0.0,2457600.0,6811194.037374999,19756.848441930546,0.0,6800357.120000001,9395928.88581693,2667371900826446.0,0.12020155490903235,0.44031771886148213,31.209147911902438,121666.66666666667,31633.333333333336,31757999.349798292,195
48,41,3,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007400919.907397,7008000000.0,7008000000.0,7007400844.005515,7007400862.980987,0.9999145148269688,1.0,0.9999145148269688,4.068109204910795,0.012834892165473349,0.9999145039962207,4.068054184420021,0.9999145067039079,4.068067938890088,1383716.3840658332,1359816.8566437499,23899.52742208334,0.0,1358724.992,5022578.0,0.0,4915200.0,13598168.566437498,238995.2742208334,0.0,13587249.920000002,18859741.84065833,5334743801652892.0,0.11768554842417708,0.4419083310714686,58.55061936187428,121666.66666666667,31633.333333333336,5777049.824884742,1188
48,41,3,4,0,0,0,0,8,0,0,0,0,0,8,0,0,256000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6996426081.037357,7008000000.0,7008000000.0,6996426001.670908,6996426021.512522,0.9983484704676594,1.0,0.9983484704676594,2.7821136559308557,0.08413794050880112,0.9983484591425382,2.7821106778304507,0.9983484619738188,2.782111422353703,3023912.705900631,2712107.1762375003,311805.52966313064,0.0,2711012.608,9937778.0,0.0,9830400.0,27121071.762375005,3118055.2966313064,0.0,27110126.08,40176905.05900631,1.0669487603305784e+16,0.11642754518174947,0.47069862387953487,117.64970719475961,121666.66666666667,31633.333333333336,896745.3182195008,7785
